Date,Site.Name,COUNTY,SITE_LONGITUDE,SITE_LATITUDE,Year,Month,PM2.5,Ozone
1-01-20,Bryson City,Swain,-83.442133,35.434767,1,1,29.5,NA
1-01-20,Castle Hayne,New Hanover,-77.838611,34.364167,1,1,13.5,NA
1-01-20,Clemmons Middle,Forsyth,-80.342,36.026,1,1,24,NA
1-01-20,Durham Armory,Durham,-78.904037,36.0329550008979,1,1,33,NA
1-01-20,Frying Pan Mountain,Haywood,-82.7925,35.379167,1,1,NA,47
1-01-20,Garinger High School,Mecklenburg,-80.785683,35.2401000008895,1,1,21.333333333333332,28
1-01-20,Hattie Avenue,Forsyth,-80.2264378,36.110693332,1,1,22,NA
1-01-20,Leggett,Edgecombe,-77.5843,35.988278,1,1,11,NA
1-01-20,Mendenhall School,Guilford,-79.802314,36.1090060008986,1,1,13,NA
1-01-20,Millbrook School,Wake,-78.574167,35.856111,1,1,30.666666666666668,32.5
1-01-20,Pitt Agri. Center,Pitt,-77.360126,35.6412760008938,1,1,16.5,NA
1-01-20,West Johnston Co.,Johnston,-78.4622,35.59095,1,1,23,26
1-02-20,,Hyde,-76.2071654064174,35.4510904272765,1,2,14,NA
1-02-20,Bryson City,Swain,-83.442133,35.434767,1,2,39,NA
1-02-20,Castle Hayne,New Hanover,-77.838611,34.364167,1,2,13,NA
1-02-20,Clemmons Middle,Forsyth,-80.342,36.026,1,2,35,NA
1-02-20,Durham Armory,Durham,-78.904037,36.0329550008979,1,2,37.333333333333336,NA
1-02-20,Frying Pan Mountain,Haywood,-82.7925,35.379167,1,2,7,44
1-02-20,Garinger High School,Mecklenburg,-80.785683,35.2401000008895,1,2,33,25
1-02-20,Hattie Avenue,Forsyth,-80.2264378,36.110693332,1,2,25,NA
1-02-20,Leggett,Edgecombe,-77.5843,35.988278,1,2,15,NA
1-02-20,Linville Falls,Avery,-81.933072,35.972347,1,2,12,NA
1-02-20,Mendenhall School,Guilford,-79.802314,36.1090060008986,1,2,11,NA
1-02-20,Millbrook School,Wake,-78.574167,35.856111,1,2,36.5,28
1-02-20,Pitt Agri. Center,Pitt,-77.360126,35.6412760008938,1,2,23,NA
1-02-20,West Johnston Co.,Johnston,-78.4622,35.59095,1,2,26.5,25
1-03-20,Bryson City,Swain,-83.442133,35.434767,1,3,31,NA
1-03-20,Castle Hayne,New Hanover,-77.838611,34.364167,1,3,18,NA
1-03-20,Clemmons Middle,Forsyth,-80.342,36.026,1,3,42.666666666666664,NA
1-03-20,Durham Armory,Durham,-78.904037,36.0329550008979,1,3,41.333333333333336,NA
1-03-20,Frying Pan Mountain,Haywood,-82.7925,35.379167,1,3,NA,36
1-03-20,Garinger High School,Mecklenburg,-80.785683,35.2401000008895,1,3,33,16.5
1-03-20,Hattie Avenue,Forsyth,-80.2264378,36.110693332,1,3,35.333333333333336,NA
1-03-20,Leggett,Edgecombe,-77.5843,35.988278,1,3,19,NA
1-03-20,Linville Falls,Avery,-81.933072,35.972347,1,3,7,NA
1-03-20,Mendenhall School,Guilford,-79.802314,36.1090060008986,1,3,40,NA
1-03-20,Millbrook School,Wake,-78.574167,35.856111,1,3,42.75,22
1-03-20,Pitt Agri. Center,Pitt,-77.360126,35.6412760008938,1,3,23.333333333333332,NA
1-03-20,West Johnston Co.,Johnston,-78.4622,35.59095,1,3,35,18
1-04-20,Bryson City,Swain,-83.442133,35.434767,1,4,21.5,NA
1-04-20,Castle Hayne,New Hanover,-77.838611,34.364167,1,4,19,NA
1-04-20,Clemmons Middle,Forsyth,-80.342,36.026,1,4,39,NA
1-04-20,Durham Armory,Durham,-78.904037,36.0329550008979,1,4,38.5,NA
1-04-20,Frying Pan Mountain,Haywood,-82.7925,35.379167,1,4,NA,34
1-04-20,Garinger High School,Mecklenburg,-80.785683,35.2401000008895,1,4,18.333333333333332,26
1-04-20,Hattie Avenue,Forsyth,-80.2264378,36.110693332,1,4,32,NA
1-04-20,Leggett,Edgecombe,-77.5843,35.988278,1,4,19.5,NA
1-04-20,Mendenhall School,Guilford,-79.802314,36.1090060008986,1,4,21.5,NA
1-04-20,Millbrook School,Wake,-78.574167,35.856111,1,4,38.666666666666664,28
1-04-20,Pitt Agri. Center,Pitt,-77.360126,35.6412760008938,1,4,24.5,NA
1-04-20,West Johnston Co.,Johnston,-78.4622,35.59095,1,4,26,23
1-05-20,,Hyde,-76.2071654064174,35.4510904272765,1,5,13,NA
1-05-20,Bryson City,Swain,-83.442133,35.434767,1,5,21.5,NA
1-05-20,Castle Hayne,New Hanover,-77.838611,34.364167,1,5,10,NA
1-05-20,Clemmons Middle,Forsyth,-80.342,36.026,1,5,25,NA
1-05-20,Durham Armory,Durham,-78.904037,36.0329550008979,1,5,30,NA
1-05-20,Frying Pan Mountain,Haywood,-82.7925,35.379167,1,5,13,39
1-05-20,Garinger High School,Mecklenburg,-80.785683,35.2401000008895,1,5,20,30.5
1-05-20,Hattie Avenue,Forsyth,-80.2264378,36.110693332,1,5,22.333333333333332,NA
1-05-20,Leggett,Edgecombe,-77.5843,35.988278,1,5,6,NA
